"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1991_2020_Average","Percent_NRCS_1991_2020_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_NRCS_1991_2020_Average_Water_Year_Peak","Percent_NRCS_1991_2020_Median_Water_Year_Peak","Percent_of_POR_Average_Water_Year_Peak","Percent_of_POR_Median_Water_Year_Peak","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1991_2020_Average_inches","NRCS_1991_2020_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"American Creek","1189	","Alaska","SNOTEL","Southeast Fairbanks","1020","64.78969","-141.23376","190705050504	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST",,,,,,,,,,,,,,,,,,"1.3","1","0.3","2.4","2013, 2016","2019","14"
"Anchor River Divide","1062	","Alaska","SNOTEL","Kenai Peninsula","1650","59.8608","-151.31494","190203010701	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","2.8","175","165","147","140","100","22","23","21","22","0.8","82","7","28",,"1.6","1.7","1.9","2","0","4.1","2013, 2014, 2018","2024","35"
"Anchorage Hillside","1070	","Alaska","SNOTEL","Anchorage","1910","61.11315","-149.68345","190204010601	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.5","100","125","75","88","100","15","14","14","14","-0.2","45","12","10",,"1.5","1.2","2","1.7","0","4.7","2014, 2016, 2018","2020","21"
"Aneroid Lake #2","302	","Oregon","SNOTEL","Wallowa","7430","45.21332","-117.19255","170601050101	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.4","16","18","15","17","67","1","2","1","2","-2","9","40","4",,"2.5","2.2","2.6","2.4","0","7.7","1982","1984","44"
"Aniak","2065	","Alaska","SNOTEL","Bethel","90","61.58337","-159.57708","190305020504	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1",,,"100","100","100",,,"29","29","0","100","1","2","2nd Lowest",,,"1","1","0.9","1","2024","2025","2"
"Annie Springs","1000	","Oregon","SNOTEL","Klamath","6020","42.87007","-122.16518","180102030101	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.2","8","11","7","11","13","0","0","0","0","-1.6","12","23","4",,"2.6","1.8","3","1.8","0","11.6","2001, 2018, 2019","2024","26"
"Apishapa","303	","Colorado","SNOTEL","Huerfano","10000","37.33067","-105.06766","110200060406	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0",,"0","0","0","0","-0.4","36","30","1","Lowest","0.7","0.5","0.7","0.4","0","2.8","2019, 2020, 2025, more","1991","46"
"Arapaho Ridge","1030	","Colorado","SNOTEL","Grand","10960","40.35098","-106.38141","140100010604	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1","21","20","23","22","100","4","4","4","4","-3.6","0","24","1","Lowest","4.7","4.9","4.3","4.6","1","7.3","2025","2005","24"
"Arbuckle Mtn","304	","Oregon","SNOTEL","Morrow","5770","45.19085","-119.25392","170702020604	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-1.6","11","43","1","Lowest","1.5","1.3","1.8","1.6","0","6","2018, 2019, 2025, more","1996","48"
"Atlanta Summit","306	","Idaho","SNOTEL","Elmore","7570","43.7569","-115.23907","170501110204	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.4","14","14","12","12","19","1","1","1","1","-2.9","5","43","3",,"2.9","2.8","3.3","3.3","0","9.2","1993","1984","45"
"Atwater","1308	","Utah","SNOTEL","Salt Lake","8750","40.59124","-111.63775","160202040202	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0",,,"0","0","0",,,"0","0","-3.6","0","4","1","Lowest",,,"4.4","3.6","0","10.5","2025","2022","4"
"Azure","1E08P	","British Columbia","Cooperator Snow Sensors","	","5331","52.58333","-119.71667","	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","10.8","93","99","96","99","100","21","21","21","21","-0.1","43","17","12",,"11.6","10.9","11.3","10.9","5.7","17.9","2018","2007","29"
"Badger Pass","307	","Montana","SNOTEL","Pondera","6870","48.13091","-113.02311","100302010201	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","4.3","90","108","86","108","100","12","13","12","13","0.3","54","22","26",,"4.8","4","5","4","0.3","15","1999","1985","47"
"Baker Butte","308	","Arizona","SNOTEL","Coconino","7360","34.45654","-111.40651","150602030206	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.4","200",,"200",,"100","6","7","6","6","0.4","91","5","41",,"0.2","0","0.2","0","0","2.7","2021, 2022, 2023, more","1993","46"
"Baker Butte Smt","1140	","Arizona","SNOTEL","Coconino","7720","34.45552","-111.38262","150602030103	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.9","225",,"225",,"100","7","7","7","7","0.9","88","3","15",,"0.4","0","0.4","0","0","1.8","2020, 2021, 2023, more","2011, 2015","17"
"Bald Mtn.","309	","Wyoming","SNOTEL","Big Horn","9360","44.80061","-107.84428","100800100501	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","3.4","74","71","76","74","100","15","15","15","15","-1.2","23","37","11",,"4.6","4.8","4.5","4.6","1.4","7.5","2015","2019","48"
"Baldy","310	","Arizona","SNOTEL","Apache","9210","33.97845","-109.50357","150200010203	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.1","20",,"25",,"100","1","1","1","1","0.1","62","18","27",,"0.5","0","0.4","0","0","3.6","2022, 2023, 2024, more","1986, 2000","46"
"Banfield Mountain","311	","Montana","SNOTEL","Lincoln","5580","48.5712","-115.44573","170101011202	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.3","14","14","12","14","16","2","2","2","2","-1.9","7","54","3",,"2.1","2.1","2.4","2.2","0","6","2008","1984","58"
"Banner Summit","312	","Idaho","SNOTEL","Boise","7040","44.30342","-115.23447","170501200202	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.1","4","4","3","4","8","0","0","0","0","-2.7","2","45","2","2nd Lowest","2.6","2.3","2.9","2.8","0","7.7","1993","1984","46"
"Bar M","1212	","Arizona","SNOTEL","Coconino","6380","34.86142","-111.60497","150602020601	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.3",,,,,"75",,,"8","8","0.3","100","1","14","Highest",,,"0","0","0","0.3","2021, 2023, 2024, more","2025","14"
"Barker Lakes","313	","Montana","SNOTEL","Deer Lodge","8250","46.09713","-113.13038","170102010304	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.3","38","43","39","45","93","7","7","7","8","-1.6","13","41","6",,"3.4","3","3.3","2.9","0.5","8.3","2016","2009","47"
"Barkerville","1A03P	","British Columbia","Cooperator Snow Sensors","	","4865","53.05","-121.48333","	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.7","33","33","30","33","100","5","5","5","5","-1.4","6","47","4",,"2.1","2.1","2.3","2.1","0","13.3","1976","1985","50"
"Barnes Creek","2B06P	","British Columbia","Cooperator Snow Sensors","	","5233","50.06667","-118.35","170200010305	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","2","51","51","53","51","95","8","8","8","8","-1.9","12","29","4",,"3.9","3.9","3.8","3.9","0.4","7.5","2016","1995","33"
"Base Camp","314	","Wyoming","SNOTEL","Teton","7040","43.94019","-110.44544","170401010304	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-2","0","46","1","Lowest","2.2","2.2","2.3","2","0","5.6","2025","2017","46"
"Basin Creek","315	","Montana","SNOTEL","Silver Bow","7120","45.79737","-112.52047","170102010201	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.1","6","6","6","7","33","1","1","1","1","-1.3","2","45","2","2nd Lowest","1.8","1.6","1.6","1.4","0","4.3","1987","1994","46"
"Bassoo Peak","1190	","Montana","SNOTEL","Sanders","5130","47.85562","-114.75841","170102120105	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0",,,"0","0","0",,,"0","0","-0.3","33","3","1","Lowest",,,"0.4","0.3","0","0.9","2023, 2025","2022","4"
"Bateman","316	","New Mexico","SNOTEL","Rio Arriba","9230","36.51174","-106.31543","130201020901	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.4","31","33","31","31","100","3","4","3","3","-0.9","28","34","13",,"1.3","1.2","1.3","1.3","0","3.9","2007, 2017, 2021, more","1994","47"
"Battle Mountain","317	","Wyoming","SNOTEL","Carbon","7460","41.05402","-107.26674","140500030109	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.3","25","30","27","33","50","2","2","2","2","-0.6","28","30","12",,"1.2","1","1.1","0.9","0","4.6","2007, 2016, 2021, more","1996","41"
"Beach Meadows","BCH	","California","Cooperator Snow Sensors","Tulare","7750","36.127","-118.293","180300010403	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.7","567",,"425",,"94","15","16","14","18","1.7","94","3","35",,"0.3","0","0.4","0","0","2.5","2018, 2019, 2021, more","2022","37"
"Beagle Springs","318	","Montana","SNOTEL","Beaverhead","8880","44.47147","-112.98191","100200010501	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-1.5","2","47","1","Lowest","1.7","1.8","1.6","1.5","0","4.6","1999, 2025","2009","48"
"Bear Basin","319	","Idaho","SNOTEL","Adams","5350","44.95222","-116.14293","170602100104	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.3","23","30","20","25","43","2","2","2","2","-0.9","16","38","7",,"1.3","1","1.5","1.2","0","4.4","2019, 2021, 2023, more","1982","45"
"Bear Canyon","320	","Idaho","SNOTEL","Custer","7920","43.74367","-113.93797","170402180101	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.2","63","60","60","57","67","8","8","8","8","-0.9","26","33","11",,"1.9","2","2","2.1","0.1","4.4","1986","1984","44"
"Bear Creek","321	","Nevada","SNOTEL","Elko","8090","41.83391","-115.45278","170501020301	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-1.8","13","41","1","Lowest","2","2","1.9","1.8","0","5.4","2018, 2019, 2025, more","1984","47"
"Bear Grass","1166	","Oregon","SNOTEL","Linn","4720","44.3253","-122.0938","170900040203	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.1",,,"3","7","5",,,"0","0","-1.4","14","13","3",,,,"3.3","1.5","0","12.3","2018, 2019","2024","15"
"Bear Lake","322	","Colorado","SNOTEL","Larimer","9490","40.31176","-105.6467","101900060201	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.5","22","23","23","25","100","2","3","2","3","-1.5","9","42","5",,"2.3","2.2","2.2","2","0","5","1999, 2007","2006","46"
"Bear Mountain","323	","Idaho","SNOTEL","Bonner","5460","48.30583","-116.07444","170102131202	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","3.3","49","46","46","46","61","6","6","6","6","-3.9","18","38","9",,"6.8","7.2","7.2","7.2","0.7","23.1","1999","1984","46"
"Bear River","1061	","Colorado","SNOTEL","Routt","9100","40.06152","-107.00948","140500010102	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.3","18","17","18","17","100","2","2","3","2","-1.5","5","21","2","2nd Lowest","1.7","1.8","1.7","1.8","0","3.1","2016","2017","22"
"Bear River RS","992	","Utah","SNOTEL","Summit","8510","40.8852","-110.8277","160101010106	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-1","7","15","1","Lowest","0.9","1","0.9","1","0","1.9","2019, 2025","2022","16"
"Bear Saddle","324	","Idaho","SNOTEL","Washington","6170","44.60533","-116.98097","170501241001	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-1.3","11","40","1","Lowest","1.5","1.2","1.9","1.3","0","6.2","2019, 2023, 2025, more","1994","45"
"Bear Trap Meadow","325	","Wyoming","SNOTEL","Johnson","8200","43.88743","-107.06135","100902010205	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.4","31","33","33","33","40","5","5","6","6","-0.8","16","39","3",,"1.3","1.2","1.2","1.2","0","3","2023","2019","46"
"Beartooth Lake","326	","Wyoming","SNOTEL","Park","9360","44.94307","-109.56743","100700060206	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","3.7","71","77","76","80","97","14","15","14","15","-0.9","24","35","11",,"5.2","4.8","4.9","4.6","0","11","1987","2017","46"
"Beartown","327	","Colorado","SNOTEL","San Juan","11600","37.71433","-107.5124","130100010104	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.6","40","47","38","46","84","7","7","6","7","-1.9","26","33","10",,"4","3.4","4.2","3.5","0","11.9","1999, 2001, 2007, more","1996","44"
"Beaver Ck Village","1041	","Colorado","SNOTEL","Eagle","8530","39.59871","-106.51113","140100030301	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.4","31","27","31","31","100","3","3","3","3","-0.9","14","20","4",,"1.3","1.5","1.3","1.3","0","2.4","2016","2022, 2024","23"
"Beaver Creek","328	","Montana","SNOTEL","Gallatin","7820","44.94966","-111.35852","100200070402	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.2","7","7","7","7","18","1","1","1","1","-2.6","3","58","1","Lowest","2.9","2.9","2.9","2.8","0.2","6.6","1999, 2016, 2025","1991","60"
"Beaver Dams","329	","Utah","SNOTEL","Sanpete","7970","39.13683","-111.55813","160300040402	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.3","43","60","38","50","50","3","3","3","3","-0.3","38","29","16",,"0.7","0.5","0.8","0.6","0","3.3","2018, 2019, 2021, more","1984","46"
"Beaver Divide","330	","Utah","SNOTEL","Summit","8230","40.61233","-111.09782","160202030105	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.3","27","25","25","25","100","3","3","2","3","-0.9","19","39","10",,"1.1","1.2","1.2","1.2","0","3.7","2007, 2018, 2021, more","1996","48"
"Beaver Head","902	","Arizona","SNOTEL","Greenlee","8070","33.69115","-109.21685","150601010107	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.2","200",,"200",,"100","5","6","5","6","0.2","87","5","27",,"0.1","0","0.1","0","0","0.8","2022, 2023, 2024, more","1996","32"
"Beaver Pass","990	","Washington","SNOTEL","Whatcom","3630","48.8793","-121.2555","171100050605	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-2.4","12","22","1","Lowest","3.9","2.4","3.8","2.4","0","12.8","2014, 2018, 2025, more","2009","25"
"Beaver Reservoir","331	","Oregon","SNOTEL","Union","5140","45.14532","-118.219","170601040301	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-0.6","20","37","1","Lowest","0.7","0.6","0.9","0.6","0","2.7","2016, 2018, 2025, more","1984, 2011","46"
"Beaver Spring","1143	","Arizona","SNOTEL","Apache","9240","36.32671","-109.05702","140802040401	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.2","29","200","33","200","100","2","2","2","2","0.1","56","8","10",,"0.7","0.1","0.6","0.1","0","3.9","2020, 2021, 2024, more","2015","17"
"Ben Lomond Peak","332	","Utah","SNOTEL","Weber","7700","41.37603","-111.94405","160201020302	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","2.1","75","91","66","84","100","5","6","5","6","-0.4","45","27","22",,"2.8","2.3","3.2","2.5","0","15.7","1995, 2001, 2007, more","1984","48"
"Ben Lomond Trail","333	","Utah","SNOTEL","Weber","5980","41.38291","-111.92103","160201020302	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-0.8","29","33","1","Lowest","1.1","0.5","1.5","0.8","0","9.4","2018, 2019, 2025, more","1984","46"
"Berry Creek","334	","Nevada","SNOTEL","White Pine","9350","39.31917","-114.62278","160600081301	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.3","19","30","18","20","50",,,"2","2","-1.2","16","39","6",,"1.6","1","1.7","1.5","0","11.2","2007, 2018, 2019, more","2004","46"
"Berthoud Summit","335	","Colorado","SNOTEL","Grand","11300","39.80364","-105.77786","140100010202	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1","34","36","33","36","100","4","4","4","4","-1.8","9","44","4",,"2.9","2.8","3","2.8","0.5","6.5","1999","1985","48"
"Bettles Field","1182	","Alaska","SNOTEL","Yukon-Koyukuk","640","66.91467","-151.53318","190901012604	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.2","71","80","67","75","100","16","18","16","17","-0.4","27","34","13",,"1.7","1.5","1.8","1.6","0","4.1","2012, 2014","1994","46"
"Bevans Cabin","1214	","Utah","SNOTEL","Tooele","6470","40.46182","-112.25233","160203040401	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0",,,"0",,,,,"0","0","0","46","8","1","Lowest",,,"0.5","0","0","2.4","2020, 2022, 2025, more","2024","14"
"Big Bend","336	","Nevada","SNOTEL","Elko","6890","41.76168","-115.6931","170501040104	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-0.2","36","31","1","Lowest","0.4","0.2","0.5","0.2","0","2.1","2018, 2019, 2025, more","2015","48"
"Big Creek Sum","337	","Nevada","SNOTEL","Lander","8710","39.29148","-117.11506","160401070303	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.1","8","12","7","12","10","1","1","0","1","-0.7","20","37","9",,"1.3","0.8","1.5","0.8","0","6.2","2016, 2018, 2019, more","1994","46"
"Big Creek Summit","338	","Idaho","SNOTEL","Valley","6560","44.62621","-115.79561","170602080402	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.1","3","3","3","3","14","0","0","0","0","-3.1","5","43","3",,"3.2","3.2","3.5","3.2","0","8.6","1993, 2001","1985","45"
"Big Flat","339	","Utah","SNOTEL","Beaver","10320","38.30183","-112.35672","160300070202	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","2.1","75","81","72","75","100","10","11","10","11","-0.7","38","30","19",,"2.8","2.6","2.9","2.8","0","8.2","1999, 2007, 2016, more","2004","48"
"Big Flat","BFL	","California","Cooperator Snow Sensors","Trinity","5030","41.08","-122.942","180102110102	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST",,,,,,,,,,,,,,,,"0.8","0.2","0.9","0.4","0","6.7","2018, 2019, 2021, more","1994","34"
"Big Goose","931	","Wyoming","SNOTEL","Sheridan","8010","44.57922","-107.20068","100901010103	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-1.6","0","28","1","Lowest","1.6","1.6","1.5","1.6","0","3.5","2025","2011","28"
"Big Meadow","340	","Nevada","SNOTEL","Washoe","8240","39.455","-119.9422","160501020505	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1","77","143","67","100","59","4","5","4","5","0","52","21","22",,"1.3","0.7","1.5","1","0","6.6","2013, 2014, 2018, more","1983","43"
"Big Meadows","BIM	","California","Cooperator Snow Sensors","Tulare","7610","36.717","-118.842","180300100403	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","3.7","285","462","247","370","100","13","15","13","14","2.7","88","5","29",,"1.3","0.8","1.5","1","0","5.4","2013, 2017, 2021, more","1982, 2000","34"
"Big Pine Creek","BGP	","California","Cooperator Snow Sensors","Inyo","9650","37.128","-118.475","180901020709	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0",,,"0","0","0","0","0","50","17","1","Lowest","1","0.3","0.9","0","0","6.1","2023, 2024, 2025, more","2004","33"
"Big Red Mountain","341	","Oregon","SNOTEL","Jackson","6060","42.05257","-122.85487","171003090301	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.5","33","42","26","42","50","2","2","2","2","-0.7","36","30","17",,"1.5","1.2","1.9","1.2","0","10","2008, 2013, 2018, more","1984","46"
"Big Sandy Opening","342	","Wyoming","SNOTEL","Sublette","9100","42.6458","-109.25965","140401040101	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","2.6","100","93","96","96","100","18","18","18","19","-0.1","49","24","23",,"2.6","2.8","2.7","2.7","0.2","7.3","1999","1985","46"
"Bigelow Camp","343	","Oregon","SNOTEL","Josephine","5130","42.07875","-123.34393","171003090105	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.6","67","200","50","150","46","4","4","3","4","0.2","56","21","25",,"0.9","0.3","1.2","0.4","0","7.5","2015, 2018, 2021, more","1994","46"
"Billie Creek Divide","344	","Oregon","SNOTEL","Klamath","5280","42.40717","-122.26617","180102030201	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.1","6","10","5","7","17","0","0","0","0","-1.3","17","40","9",,"1.6","1","1.9","1.4","0","9.4","2018, 2019, 2021, more","1994","48"
"Bird Creek","1155	","Nevada","SNOTEL","White Pine","7540","39.46138","-114.64863","160600081304	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0",,,"0",,,,,"0","0","0","50","8","1","Lowest",,,"0.2","0","0","1.5","2020, 2021, 2025, more","2015","15"
"Bishop Pass","BSH	","California","Cooperator Snow Sensors","Fresno","11220","37.1","-118.557","180300100302	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","5.7","219","238","219","238","100","20","21","21","22","3.3","97","2","31","2nd Highest","2.6","2.4","2.6","2.4","0","6.9","2013, 2017, 2018, more","2004","32"
"Bison Lake","345	","Colorado","SNOTEL","Garfield","10950","39.76458","-107.35628","140100011401	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.1","26","25","25","25","100","4","4","4","4","-3.3","10","37","5",,"4.3","4.4","4.4","4.4","0","14","1989","1985","41"
"Bisson Creek","346	","Montana","SNOTEL","Lake","4880","47.68386","-113.99895","170102120602	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-0.9","18","29","1","Lowest","1","0.9","1","0.9","0","3.8","2015, 2016, 2025, more","1996","35"
"Black Bear","347	","Montana","SNOTEL","Gallatin","8160","44.50832","-111.12803","100200070202	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","3.4","54","55","54","55","100","8","8","8","8","-2.8","11","49","6",,"6.3","6.2","6.3","6.2","1.2","12.3","1999","1973","55"
"Black Flat-U.M. Ck","348	","Utah","SNOTEL","Sevier","9420","38.6799","-111.59765","140700030101	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0","0","0","0","0","0","0","0","0","0","-0.7","20","36","1","Lowest","0.8","0.7","0.9","0.7","0","2.7","2008, 2018, 2025, more","1985, 2004","45"
"Black Mesa","1185	","Colorado","SNOTEL","Dolores","11580","37.78968","-108.18376","140300020103	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","1.7",,,"61","61","100",,,"7","7","-1.1","31","10","5",,,,"2.8","2.8","0.2","5.8","2019","2015","14"
"Black Mountain","1161	","Colorado","SNOTEL","Larimer","8950","40.8879","-105.66404","101900070501	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.2","9","9","11","11","50","2","2","2","2","-1.6","0","16","1","Lowest","2.3","2.3","1.9","1.8","0.2","3.6","2025","2015","16"
"Black Pine","349	","Montana","SNOTEL","Granite","7170","46.414","-113.43095","170102020203	","November 19, 2025, end of day ","11-20-2025, 10:19 PM PST","0.2","14","14","15","15","29","2","2","2","2","-1.1","7","57","5",,"1.4","1.4","1.3","1.3","0","3","1999, 2001, 2008, more","1975, 1996","61"
