Date,SWE_in,SnowDepth_in,PrecipAccum_in,MaxTemp_F,MinTemp_F,NewSnow_in,Precip_Liquid_in,Resort
2005-03-11,56.2,106,0.0,58.3,37.8,0.0,0.0,Palisades Tahoe
2005-03-12,56.2,104,0.0,52.7,37.0,0.0,0.0,Palisades Tahoe
2005-03-13,56.2,103,0.0,43.2,23.4,0.0,0.0,Palisades Tahoe
2005-03-14,56.2,102,0.0,35.8,19.8,0.0,0.0,Palisades Tahoe
2005-03-15,56.2,102,0.0,41.9,23.2,0.0,0.0,Palisades Tahoe
2005-03-16,56.2,101,0.0,37.8,26.4,0.0,0.0,Palisades Tahoe
2005-03-17,56.2,101,0.0,32.5,25.0,0.0,0.0,Palisades Tahoe
2005-03-18,56.2,100,0.0,30.0,25.5,0.0,0.0,Palisades Tahoe
2005-03-19,56.2,100,0.9,30.9,21.4,0.0,0.9,Palisades Tahoe
2005-03-20,57.1,112,2.5,25.0,20.7,12.0,1.6,Palisades Tahoe
2005-03-21,60.2,123,0.3,30.0,21.7,11.0,0.0,Palisades Tahoe
2005-03-22,63.2,126,1.0,30.6,21.7,3.0,0.7,Palisades Tahoe
2005-03-23,66.1,136,2.5,25.5,19.0,10.0,1.5,Palisades Tahoe
2005-03-24,66.5,145,0.6,23.5,17.2,9.0,0.0,Palisades Tahoe
2005-03-25,66.9,141,0.0,30.9,14.9,0.0,0.0,Palisades Tahoe
2005-03-26,66.9,140,0.4,41.7,24.8,0.0,0.4,Palisades Tahoe
2005-03-27,67.9,136,0.7,36.7,25.7,0.0,0.29999999999999993,Palisades Tahoe
2005-03-28,69.6,137,0.4,25.7,20.7,1.0,0.0,Palisades Tahoe
2005-03-29,69.7,144,0.1,27.0,16.3,7.0,0.0,Palisades Tahoe
2005-03-30,69.7,146,0.3,35.8,13.1,2.0,0.19999999999999998,Palisades Tahoe
2005-03-31,70.0,143,0.1,50.9,20.8,0.0,0.0,Palisades Tahoe
2005-04-01,71.1,141,0.2,43.7,32.7,0.0,0.1,Palisades Tahoe
2005-04-02,71.3,138,0.0,39.4,28.4,0.0,0.0,Palisades Tahoe
2005-04-03,71.3,136,0.8,28.4,18.9,0.0,0.8,Palisades Tahoe
2005-04-04,71.6,139,0.3,30.7,16.9,3.0,0.0,Palisades Tahoe
2005-04-05,71.6,139,0.5,53.8,26.4,0.0,0.2,Palisades Tahoe
2005-04-06,71.3,135,0.0,49.1,37.0,0.0,0.0,Palisades Tahoe
2005-04-07,71.3,132,0.0,38.7,17.8,0.0,0.0,Palisades Tahoe
2005-04-08,71.3,133,0.5,23.4,17.2,1.0,0.5,Palisades Tahoe
2005-04-09,72.5,142,0.8,32.9,17.1,9.0,0.30000000000000004,Palisades Tahoe
2005-04-10,72.8,141,0.2,45.9,19.2,0.0,0.0,Palisades Tahoe
2005-04-11,73.1,137,0.0,38.7,29.7,0.0,0.0,Palisades Tahoe
2005-04-12,73.1,135,0.0,35.1,25.3,0.0,0.0,Palisades Tahoe
2005-04-13,73.1,133,0.0,24.8,14.4,0.0,0.0,Palisades Tahoe
2005-04-14,73.1,133,0.0,42.3,12.7,0.0,0.0,Palisades Tahoe
2005-04-15,73.1,132,0.0,53.2,25.2,0.0,0.0,Palisades Tahoe
2005-04-16,73.1,131,0.0,49.8,36.5,0.0,0.0,Palisades Tahoe
2005-04-17,73.1,128,0.0,40.3,26.8,0.0,0.0,Palisades Tahoe
2005-04-18,73.1,126,0.0,35.2,20.5,0.0,0.0,Palisades Tahoe
2005-04-19,73.1,127,0.0,32.2,18.3,1.0,0.0,Palisades Tahoe
2005-04-20,73.1,126,0.1,33.4,23.4,0.0,0.1,Palisades Tahoe
2005-04-21,73.2,126,0.3,47.1,26.4,0.0,0.19999999999999998,Palisades Tahoe
2005-04-22,73.2,124,0.0,51.3,30.7,0.0,0.0,Palisades Tahoe
2005-04-23,73.2,123,0.2,34.9,25.3,0.0,0.2,Palisades Tahoe
2005-04-24,73.2,123,0.0,29.8,25.7,0.0,0.0,Palisades Tahoe
2005-04-25,73.5,123,0.2,45.9,23.0,0.0,0.2,Palisades Tahoe
2005-04-26,73.6,122,0.2,49.6,31.6,0.0,0.0,Palisades Tahoe
2005-04-27,73.3,120,0.0,39.4,27.9,0.0,0.0,Palisades Tahoe
2005-04-28,73.6,121,0.1,33.3,27.1,1.0,0.1,Palisades Tahoe
2005-04-29,73.5,120,0.1,41.4,26.2,0.0,0.0,Palisades Tahoe
2005-04-30,73.6,118,0.5,43.9,28.8,0.0,0.4,Palisades Tahoe
2005-05-01,74.1,120,0.1,41.0,28.2,2.0,0.0,Palisades Tahoe
2005-05-02,73.9,118,0.0,44.8,32.0,0.0,0.0,Palisades Tahoe
2005-05-03,73.6,116,0.2,46.2,32.2,0.0,0.2,Palisades Tahoe
2005-05-04,73.6,114,0.0,46.4,32.7,0.0,0.0,Palisades Tahoe
2005-05-05,73.5,113,0.1,36.0,28.8,0.0,0.1,Palisades Tahoe
2005-05-06,72.0,113,0.1,30.4,27.3,0.0,0.0,Palisades Tahoe
2005-05-07,72.0,113,0.1,39.2,27.7,0.0,0.0,Palisades Tahoe
2005-05-08,72.0,111,1.0,33.1,30.2,0.0,0.9,Palisades Tahoe
2005-05-09,72.4,112,1.2,29.5,21.0,1.0,0.19999999999999996,Palisades Tahoe
2005-05-10,72.6,122,0.1,34.3,20.7,10.0,0.0,Palisades Tahoe
2005-05-11,72.6,120,0.2,43.0,23.7,0.0,0.1,Palisades Tahoe
2005-05-12,73.1,119,0.1,51.6,30.6,0.0,0.0,Palisades Tahoe
2005-05-13,74.7,118,0.2,55.2,38.8,0.0,0.1,Palisades Tahoe
2005-05-14,75.7,117,0.1,56.5,40.8,0.0,0.0,Palisades Tahoe
2005-05-15,75.3,116,0.8,46.6,40.5,0.0,0.7000000000000001,Palisades Tahoe
2005-05-16,74.8,115,1.1,41.7,26.6,0.0,0.30000000000000004,Palisades Tahoe
2005-05-17,68.5,108,0.3,35.6,27.0,0.0,0.0,Palisades Tahoe
2005-05-18,66.8,108,3.6,40.1,30.9,0.0,3.3000000000000003,Palisades Tahoe
2005-05-19,66.6,104,1.2,42.8,38.8,0.0,0.0,Palisades Tahoe
2005-05-20,65.1,101,0.0,43.7,35.6,0.0,0.0,Palisades Tahoe
2005-05-21,60.4,97,0.0,58.5,36.3,0.0,0.0,Palisades Tahoe
2005-05-22,59.7,94,0.0,54.7,46.8,0.0,0.0,Palisades Tahoe
2005-05-23,59.3,92,0.0,57.4,46.6,0.0,0.0,Palisades Tahoe
2005-05-24,57.2,90,0.0,63.1,45.9,0.0,0.0,Palisades Tahoe
2005-05-25,54.7,88,0.0,63.1,44.1,0.0,0.0,Palisades Tahoe
2005-05-26,53.1,85,0.0,65.8,49.6,0.0,0.0,Palisades Tahoe
2005-05-27,51.3,82,0.0,65.1,49.6,0.0,0.0,Palisades Tahoe
2005-05-28,48.6,78,0.0,54.0,32.5,0.0,0.0,Palisades Tahoe
2005-05-29,45.1,71,0.0,42.1,32.0,0.0,0.0,Palisades Tahoe
2005-05-30,42.7,67,0.0,59.0,34.5,0.0,0.0,Palisades Tahoe
2005-05-31,41.7,66,0.2,57.2,44.2,0.0,0.2,Palisades Tahoe
2005-06-01,40.1,63,0.0,54.1,38.8,0.0,0.0,Palisades Tahoe
2005-06-02,36.2,59,0.0,51.4,34.5,0.0,0.0,Palisades Tahoe
2005-06-03,33.5,57,0.0,53.4,35.2,0.0,0.0,Palisades Tahoe
2005-06-04,31.8,54,0.0,54.7,41.2,0.0,0.0,Palisades Tahoe
2005-06-05,29.8,50,0.0,41.4,30.0,0.0,0.0,Palisades Tahoe
2005-06-06,27.0,48,0.0,35.8,24.3,0.0,0.0,Palisades Tahoe
2005-06-07,25.7,50,0.3,39.2,21.7,2.0,0.3,Palisades Tahoe
2005-06-08,25.9,47,1.4,37.4,28.2,0.0,1.0999999999999999,Palisades Tahoe
2005-06-09,26.6,47,0.3,43.9,35.8,0.0,0.0,Palisades Tahoe
2005-06-10,24.8,42,0.6,50.9,36.7,0.0,0.3,Palisades Tahoe
2005-06-11,23.3,43,0.0,51.1,37.8,1.0,0.0,Palisades Tahoe
2005-06-12,20.2,38,0.0,59.0,37.0,0.0,0.0,Palisades Tahoe
2005-06-13,17.0,37,0.0,63.3,43.9,0.0,0.0,Palisades Tahoe
2005-06-14,14.0,32,0.0,57.9,49.5,0.0,0.0,Palisades Tahoe
2005-06-15,9.2,26,0.0,57.6,45.0,0.0,0.0,Palisades Tahoe
2005-06-16,6.5,23,0.0,48.0,30.9,0.0,0.0,Palisades Tahoe
2005-06-17,5.9,11,0.4,32.0,27.5,0.0,0.4,Palisades Tahoe
2005-06-18,6.7,21,0.1,39.9,28.0,10.0,0.0,Palisades Tahoe
2005-06-19,6.9,22,0.2,47.1,34.9,1.0,0.1,Palisades Tahoe
2005-06-20,4.8,18,0.1,56.7,41.9,0.0,0.0,Palisades Tahoe
2005-06-21,1.9,13,0.0,53.8,47.7,0.0,0.0,Palisades Tahoe
2005-06-22,0.8,8,0.0,57.7,48.6,0.0,0.0,Palisades Tahoe
2005-06-23,0.0,0,0.0,59.2,47.5,0.0,0.0,Palisades Tahoe
2005-06-24,0.0,0,0.0,56.7,47.5,0.0,0.0,Palisades Tahoe
2005-06-25,0.0,0,0.0,52.7,44.8,0.0,0.0,Palisades Tahoe
2005-06-26,0.0,0,0.0,53.6,42.1,0.0,0.0,Palisades Tahoe
2005-06-27,0.0,0,0.0,53.4,44.4,0.0,0.0,Palisades Tahoe
2005-06-28,0.0,0,0.1,57.2,44.1,0.0,0.1,Palisades Tahoe
2005-06-29,0.0,0,0.0,67.1,46.2,0.0,0.0,Palisades Tahoe
2005-06-30,0.0,0,0.0,68.9,52.7,0.0,0.0,Palisades Tahoe
2005-07-01,0.0,0,0.0,68.4,57.2,0.0,0.0,Palisades Tahoe
2005-07-02,0.0,0,0.0,64.9,55.2,0.0,0.0,Palisades Tahoe
2005-07-03,0.0,0,0.0,64.9,53.4,0.0,0.0,Palisades Tahoe
2005-07-04,0.0,0,0.0,67.3,53.1,0.0,0.0,Palisades Tahoe
2005-07-05,0.0,0,0.0,71.1,52.0,0.0,0.0,Palisades Tahoe
2005-07-06,0.0,0,0.0,71.4,53.4,0.0,0.0,Palisades Tahoe
2005-07-07,0.0,0,0.0,66.9,55.9,0.0,0.0,Palisades Tahoe
2005-07-08,0.0,0,0.0,64.9,52.0,0.0,0.0,Palisades Tahoe
2005-07-09,0.0,0,0.0,57.0,47.3,0.0,0.0,Palisades Tahoe
2005-07-10,0.0,0,0.0,60.1,46.8,0.0,0.0,Palisades Tahoe
2005-07-11,0.0,0,0.0,72.0,52.7,0.0,0.0,Palisades Tahoe
2005-07-12,0.0,0,0.0,75.2,61.0,0.0,0.0,Palisades Tahoe
2005-07-13,0.0,0,0.0,73.4,61.3,0.0,0.0,Palisades Tahoe
2005-07-14,0.0,0,0.0,74.8,58.8,0.0,0.0,Palisades Tahoe
2005-07-15,0.0,0,0.0,75.9,62.2,0.0,0.0,Palisades Tahoe
2005-07-16,0.0,0,0.0,76.5,63.9,0.0,0.0,Palisades Tahoe
2005-07-17,0.0,0,0.0,78.1,60.8,0.0,0.0,Palisades Tahoe
2005-07-18,0.0,0,0.0,77.9,62.6,0.0,0.0,Palisades Tahoe
2005-07-19,0.0,0,0.0,72.7,59.7,0.0,0.0,Palisades Tahoe
2005-07-20,0.0,0,0.0,73.9,58.6,0.0,0.0,Palisades Tahoe
2005-07-21,0.0,0,0.0,71.1,60.6,0.0,0.0,Palisades Tahoe
2005-07-22,0.0,0,0.2,64.2,57.0,0.0,0.2,Palisades Tahoe
2005-07-23,0.0,0,0.0,71.8,52.9,0.0,0.0,Palisades Tahoe
2005-07-24,0.0,0,0.0,70.2,58.3,0.0,0.0,Palisades Tahoe
2005-07-25,0.0,0,0.0,71.4,54.7,0.0,0.0,Palisades Tahoe
2005-07-26,0.0,0,0.0,73.8,55.4,0.0,0.0,Palisades Tahoe
2005-07-27,0.0,0,0.0,72.9,61.0,0.0,0.0,Palisades Tahoe
2005-07-28,0.0,0,0.0,70.5,58.3,0.0,0.0,Palisades Tahoe
2005-07-29,0.0,0,0.0,67.8,55.0,0.0,0.0,Palisades Tahoe
2005-07-30,0.0,0,0.0,67.6,55.8,0.0,0.0,Palisades Tahoe
2005-07-31,0.0,0,0.0,67.6,54.7,0.0,0.0,Palisades Tahoe
2005-08-01,0.0,0,0.0,63.9,52.7,0.0,0.0,Palisades Tahoe
2005-08-02,0.0,0,0.0,64.0,53.2,0.0,0.0,Palisades Tahoe
2005-08-03,0.0,0,0.1,69.8,54.1,0.0,0.1,Palisades Tahoe
2005-08-04,0.0,0,0.1,72.9,55.9,0.0,0.0,Palisades Tahoe
2005-08-05,0.0,0,0.0,72.5,59.2,0.0,0.0,Palisades Tahoe
2005-08-06,0.0,0,0.0,72.0,58.6,0.0,0.0,Palisades Tahoe
2005-08-07,0.0,0,0.0,71.8,60.6,0.0,0.0,Palisades Tahoe
2005-08-08,0.0,0,0.0,70.0,58.3,0.0,0.0,Palisades Tahoe
2005-08-09,0.0,0,0.0,67.8,55.0,0.0,0.0,Palisades Tahoe
2005-08-10,0.0,0,0.0,67.5,56.1,0.0,0.0,Palisades Tahoe
2005-08-11,0.0,0,0.0,70.0,54.7,0.0,0.0,Palisades Tahoe
2005-08-12,0.0,0,0.0,68.4,54.7,0.0,0.0,Palisades Tahoe
2005-08-13,0.0,0,0.0,70.3,51.6,0.0,0.0,Palisades Tahoe
2005-08-14,0.0,0,0.0,71.4,53.8,0.0,0.0,Palisades Tahoe
2005-08-15,0.0,0,0.0,62.6,48.6,0.0,0.0,Palisades Tahoe
2005-08-16,0.0,0,0.1,60.6,50.2,0.0,0.1,Palisades Tahoe
2005-08-17,0.0,0,0.0,65.5,52.0,0.0,0.0,Palisades Tahoe
2005-08-18,0.0,0,0.0,60.1,50.4,0.0,0.0,Palisades Tahoe
2005-08-19,0.0,0,0.0,65.8,50.0,0.0,0.0,Palisades Tahoe
2005-08-20,0.0,0,0.0,69.6,53.2,0.0,0.0,Palisades Tahoe
2005-08-21,0.0,0,0.0,68.9,56.1,0.0,0.0,Palisades Tahoe
2005-08-22,0.0,0,0.0,71.4,55.0,0.0,0.0,Palisades Tahoe
2005-08-23,0.0,0,0.0,70.5,55.8,0.0,0.0,Palisades Tahoe
2005-08-24,0.0,0,0.0,64.2,54.7,0.0,0.0,Palisades Tahoe
2005-08-25,0.0,0,0.0,66.6,55.0,0.0,0.0,Palisades Tahoe
2005-08-26,0.0,0,0.0,67.5,53.8,0.0,0.0,Palisades Tahoe
2005-08-27,0.0,0,0.0,70.0,54.9,0.0,0.0,Palisades Tahoe
2005-08-28,0.0,0,0.0,68.7,54.1,0.0,0.0,Palisades Tahoe
2005-08-29,0.0,0,0.0,61.2,43.5,0.0,0.0,Palisades Tahoe
2005-08-30,0.0,0,0.0,60.4,38.1,0.0,0.0,Palisades Tahoe
2005-08-31,0.0,0,0.0,68.4,45.7,0.0,0.0,Palisades Tahoe
2005-09-01,0.0,0,0.0,69.6,53.1,0.0,0.0,Palisades Tahoe
2005-09-02,0.0,0,0.0,66.2,53.6,0.0,0.0,Palisades Tahoe
2005-09-03,0.0,0,0.0,60.8,48.6,0.0,0.0,Palisades Tahoe
2005-09-04,0.0,0,0.0,59.2,47.3,0.0,0.0,Palisades Tahoe
2005-09-05,0.0,0,0.0,62.1,43.9,0.0,0.0,Palisades Tahoe
2005-09-06,0.0,0,0.0,63.1,49.1,0.0,0.0,Palisades Tahoe
2005-09-07,0.0,0,0.0,65.5,50.2,0.0,0.0,Palisades Tahoe
2005-09-08,0.0,0,0.0,57.6,44.6,0.0,0.0,Palisades Tahoe
2005-09-09,0.0,0,0.0,49.1,38.7,0.0,0.0,Palisades Tahoe
2005-09-10,0.0,0,0.0,42.8,32.2,0.0,0.0,Palisades Tahoe
2005-09-11,0.0,0,0.0,45.5,30.9,0.0,0.0,Palisades Tahoe
2005-09-12,0.0,0,0.0,52.0,33.1,0.0,0.0,Palisades Tahoe
2005-09-13,0.0,0,0.0,55.8,36.7,0.0,0.0,Palisades Tahoe
2005-09-14,0.0,0,0.0,59.5,42.4,0.0,0.0,Palisades Tahoe
2005-09-15,0.0,0,0.0,58.8,43.7,0.0,0.0,Palisades Tahoe
2005-09-16,0.0,0,0.0,51.3,37.2,0.0,0.0,Palisades Tahoe
2005-09-17,0.0,0,0.0,50.4,36.0,0.0,0.0,Palisades Tahoe
2005-09-18,0.0,0,0.0,57.7,36.9,0.0,0.0,Palisades Tahoe
2005-09-19,0.0,0,0.0,64.9,44.1,0.0,0.0,Palisades Tahoe
2005-09-20,0.0,0,0.0,64.0,44.4,0.0,0.0,Palisades Tahoe
2005-09-21,0.0,0,0.0,62.8,43.9,0.0,0.0,Palisades Tahoe
2005-09-22,0.0,0,0.0,60.8,47.8,0.0,0.0,Palisades Tahoe
2005-09-23,0.0,0,0.0,51.6,34.9,0.0,0.0,Palisades Tahoe
2005-09-24,0.0,0,0.0,51.4,27.9,0.0,0.0,Palisades Tahoe
2005-09-25,0.0,0,0.0,51.4,32.2,0.0,0.0,Palisades Tahoe
2005-09-26,0.0,0,0.2,49.6,33.3,0.0,0.2,Palisades Tahoe
2005-09-27,0.0,0,0.2,51.8,34.5,0.0,0.0,Palisades Tahoe
2005-09-28,0.0,0,0.2,59.4,43.9,0.0,0.0,Palisades Tahoe
2005-09-29,0.0,0,0.1,69.8,46.6,0.0,0.0,Palisades Tahoe
2005-09-30,0.0,0,0.0,66.4,51.6,0.0,0.0,Palisades Tahoe
2005-10-01,0.0,0,0.0,54.7,40.6,0.0,0.0,Palisades Tahoe
2005-10-02,0.0,0,0.0,44.2,29.3,0.0,0.0,Palisades Tahoe
2005-10-03,0.0,0,0.0,39.0,27.0,0.0,0.0,Palisades Tahoe
2005-10-04,0.0,0,0.0,39.9,23.9,0.0,0.0,Palisades Tahoe
2005-10-05,0.0,0,0.0,49.8,31.3,0.0,0.0,Palisades Tahoe
2005-10-06,0.0,0,0.0,61.3,36.0,0.0,0.0,Palisades Tahoe
2005-10-07,0.0,0,0.0,56.5,39.4,0.0,0.0,Palisades Tahoe
2005-10-08,0.0,0,0.0,47.8,34.5,0.0,0.0,Palisades Tahoe
2005-10-09,0.0,0,0.0,52.9,32.7,0.0,0.0,Palisades Tahoe
2005-10-10,0.0,0,0.0,59.7,34.5,0.0,0.0,Palisades Tahoe
2005-10-11,0.0,0,0.0,52.9,41.4,0.0,0.0,Palisades Tahoe
2005-10-12,0.0,0,0.0,58.5,38.7,0.0,0.0,Palisades Tahoe
2005-10-13,0.0,0,0.1,62.2,48.4,0.0,0.1,Palisades Tahoe
2005-10-14,0.0,0,0.0,57.4,38.8,0.0,0.0,Palisades Tahoe
2005-10-15,0.0,0,0.0,39.6,28.2,0.0,0.0,Palisades Tahoe
2005-10-16,0.0,0,0.0,48.0,28.8,0.0,0.0,Palisades Tahoe
2005-10-17,0.0,0,0.3,57.4,41.0,0.0,0.3,Palisades Tahoe
2005-10-18,0.0,0,0.0,57.0,37.4,0.0,0.0,Palisades Tahoe
2005-10-19,0.0,0,0.0,47.7,35.8,0.0,0.0,Palisades Tahoe
2005-10-20,0.0,0,0.0,56.5,39.6,0.0,0.0,Palisades Tahoe
2005-10-21,0.0,0,0.0,58.5,38.8,0.0,0.0,Palisades Tahoe
2005-10-22,0.0,0,0.0,59.9,45.5,0.0,0.0,Palisades Tahoe
2005-10-23,0.0,0,0.0,58.5,45.3,0.0,0.0,Palisades Tahoe
2005-10-24,0.0,0,0.0,59.4,39.6,0.0,0.0,Palisades Tahoe
2005-10-25,0.0,0,0.2,44.8,36.0,0.0,0.2,Palisades Tahoe
2005-10-26,0.0,0,0.6,36.5,32.0,0.0,0.39999999999999997,Palisades Tahoe
2005-10-27,0.0,0,0.3,34.9,26.8,0.0,0.0,Palisades Tahoe
2005-10-28,0.0,0,0.6,34.2,27.3,0.0,0.3,Palisades Tahoe
2005-10-29,0.0,0,0.3,36.3,31.6,0.0,0.0,Palisades Tahoe
2005-10-30,0.0,0,0.2,47.3,31.5,0.0,0.0,Palisades Tahoe
2005-10-31,0.0,0,0.0,55.6,41.9,0.0,0.0,Palisades Tahoe
2005-11-01,0.0,0,0.0,51.4,42.8,0.0,0.0,Palisades Tahoe
2005-11-02,0.0,0,0.1,42.8,23.4,0.0,0.1,Palisades Tahoe
2005-11-03,0.0,0,0.6,30.2,23.2,0.0,0.5,Palisades Tahoe
2005-11-04,0.0,0,0.4,31.5,25.9,0.0,0.0,Palisades Tahoe
2005-11-05,0.2,1,0.3,36.5,27.7,1.0,0.0,Palisades Tahoe
2005-11-06,0.5,1,0.0,38.3,32.5,0.0,0.0,Palisades Tahoe
2005-11-07,0.2,0,0.6,34.3,32.0,0.0,0.6,Palisades Tahoe
2005-11-08,0.1,0,0.5,42.8,32.5,0.0,0.0,Palisades Tahoe
2005-11-09,0.0,0,0.0,43.9,32.2,0.0,0.0,Palisades Tahoe
2005-11-10,0.0,0,0.0,50.0,35.1,0.0,0.0,Palisades Tahoe
2005-11-11,0.0,0,0.1,39.9,29.3,0.0,0.1,Palisades Tahoe
2005-11-12,0.0,0,0.0,46.6,29.3,0.0,0.0,Palisades Tahoe
2005-11-13,0.0,0,0.0,46.4,35.2,0.0,0.0,Palisades Tahoe
2005-11-14,0.0,0,0.0,45.7,34.3,0.0,0.0,Palisades Tahoe
2005-11-15,0.0,0,0.0,43.5,28.8,0.0,0.0,Palisades Tahoe
2005-11-16,0.0,0,0.0,56.1,36.1,0.0,0.0,Palisades Tahoe
2005-11-17,0.0,0,0.0,48.6,34.2,0.0,0.0,Palisades Tahoe
